dataset,Model,Params(M),FLOPs(M)
uci,RTWCNN,0.101286,0.672768
uci,HARLSTM,0.202502,26.084096
uci,HARBiLSTM,0.53607,68.945408
uci,HARConvLSTM,0.295814,33.514752
uci,ResNetTSC,0.481542,61.866752
uci,FCNTSC,0.269318,34.505472
